studentno,studlastname,studmidname,studfirstname,studsuffixname,birthday,age,homeaddress
2007-29918,Dean,Carter,Dennis,,6/14/1991,25,404 Basil Junction
2004-16200,Evans,Patterson,Tammy,III,4/8/1997,19,93265 Oxford Parkway
2000-74020,Hudson,Gibson,Walter,,6/13/1990,26,89678 Drewry Way
2016-94740,Crawford,Mills,Russell,,1/23/1997,19,470 Washington Place
2015-25420,Fowler,Henderson,Kathryn,II,7/8/1991,25,37 Redwing Street
2011-25414,Shaw,Ford,Jeremy,,4/23/1997,19,64324 Del Mar Alley
2010-43775,Hayes,Willis,Brenda,III,4/21/1993,23,4092 Melrose Terrace
2019-92121,Larson,Ortiz,Ryan,,10/2/1996,20,45419 Independence Hill
2003-93345,Bailey,Ramos,Patrick,III,11/20/1995,21,9 Stang Crossing
2007-40381,Watson,Perry,Todd,,4/8/1998,18,350 Continental Court
2017-19464,Peterson,Harvey,Jean,,3/19/1990,26,19122 Crowley Hill
2014-98820,Daniels,Reynolds,Irene,Sr.,2/13/1993,23,50 Spohn Pass
2005-36243,Sanchez,Miller,Irene,III,1/13/1998,18,90323 Florence Point
2019-04666,Warren,Montgomery,Barbara,,5/8/1990,26,075 Utah Alley
2000-66674,Stanley,Campbell,Patrick,,4/17/1996,20,47356 Spaight Park
2000-05008,Jordan,Hill,Phillip,III,11/12/1992,24,52 Gateway Point
2017-91272,James,Vasquez,Pamela,,9/27/1995,21,68 Michigan Lane
2013-61375,Burke,Mendoza,Donald,II,10/31/1997,19,1 Fair Oaks Place
2013-13095,Mendoza,Wilson,Evelyn,,7/26/1993,23,1879 Moulton Alley
2002-28120,Evans,Brown,Nicholas,,7/17/1993,23,5670 Katie Circle
2017-08282,Peterson,Robertson,Anne,,5/16/1991,25,1232 Sloan Pass
2008-86805,Turner,Perez,Christine,,12/18/1991,25,4 Lakewood Parkway
2013-16928,Gilbert,Welch,Eugene,I,10/18/1991,25,19569 Nova Court
2010-01880,King,Gonzalez,Frances,,7/2/1991,25,56937 Daystar Junction
2005-95047,Ferguson,Olson,Michelle,,3/24/1997,19,87 Green Park
2008-43559,Walker,Rose,Jennifer,,2/5/1993,23,68 Superior Place
2014-24555,Rodriguez,Little,Phillip,,2/6/1992,24,98015 Loomis Plaza
2013-54085,Garcia,,Sara,,2/7/1992,24,3252 Charing Cross Place
2004-34308,Harris,Stewart,Mark,,1/22/1994,22,3 Northridge Place
2019-63232,Wright,Kennedy,Nicholas,,6/9/1991,25,1 Dovetail Crossing
2009-27078,Morgan,Hunter,Paula,,3/15/1994,22,111 School Place
2001-80932,Thomas,Woods,Cheryl,,9/13/1995,21,13 Meadow Vale Drive
2009-73077,Cox,Dixon,Kenneth,,1/20/1992,24,70 Linden Lane
2004-53900,Robertson,Jenkins,Carol,Sr.,9/1/1991,25,6 Sage Plaza
2011-31167,Watkins,Welch,Wayne,,10/10/1996,20,31845 Garrison Alley
2018-16183,Phillips,Hamilton,Rose,,10/21/1994,22,72907 Ilene Center
2001-98335,Griffin,Armstrong,Bonnie,,7/20/1995,21,77897 Sunfield Drive
2006-15288,Ray,Roberts,Cheryl,,11/24/1992,24,803 Shasta Drive
2018-00256,Sullivan,Sullivan,Michael,,5/20/1990,26,06033 Farwell Park
2011-43750,James,,Gloria,,2/12/1994,22,9 Claremont Park
2000-71914,Ray,Dixon,Jennifer,II,6/10/1993,23,10275 Kedzie Drive
2005-40983,Bishop,Phillips,Susan,I,4/19/1998,18,7 Onsgard Pass
2006-61496,Mendoza,Butler,Andrea,II,12/10/1996,20,2987 Maryland Way
2000-02301,Cole,Riley,Ashley,,5/7/1992,24,18521 Gulseth Place
2007-59872,Boyd,Edwards,Peter,,2/10/1992,24,9186 Pennsylvania Place
2008-73398,Collins,Chavez,Sharon,,12/14/1995,21,7064 Blackbird Way
2012-36585,Kelly,Rose,Michelle,I,7/26/1996,20,04 3rd Street
2008-37199,Howard,Schmidt,Heather,II,3/18/1998,18,8574 Anthes Street
2015-92127,Ward,Myers,Karen,III,2/18/1994,22,81837 Fairview Way
2019-58576,Bryant,Hunter,Wayne,III,9/29/1994,22,5 Golf Lane
2005-91430,Johnston,Robertson,Julia,,12/13/1995,21,2248 Norway Maple Trail
2000-58643,Carr,Warren,Patrick,,4/23/1994,22,19 Kensington Road
2005-32737,Austin,Cunningham,Jacqueline,,8/22/1991,25,47952 Kim Drive
2006-91624,Fox,Hart,Brenda,III,11/6/1994,22,2 Petterle Street
2010-67740,Franklin,Richards,William,,12/30/1990,26,74 Cody Parkway
2000-15326,Elliott,,Laura,,12/5/1990,26,88738 Brickson Park Circle
2018-73894,Murphy,Berry,Henry,II,11/21/1992,24,184 Waxwing Crossing
2010-16914,Elliott,Morrison,Ruby,,6/16/1993,23,92891 Talmadge Pass
2003-95776,Young,Ramirez,Diana,II,10/3/1991,25,118 Elmside Crossing
2006-81075,Fowler,Chavez,Keith,III,1/17/1993,23,8 Jenifer Lane
2000-64929,Alvarez,,Kimberly,,4/28/1995,21,07059 Delladonna Circle
2014-60536,Morris,Torres,Arthur,III,2/15/1993,23,3684 Debs Court
2011-54591,Coleman,Palmer,Thomas,,10/29/1992,24,980 Northridge Drive
2000-00447,Matthews,,Cheryl,,5/13/1990,26,9618 Luster Drive
2010-60763,Berry,Jones,Kathleen,II,9/9/1994,22,7 Gulseth Trail
2018-42863,Bennett,Gonzalez,Linda,,7/15/1990,26,14 Columbus Point
2008-91987,Morrison,Wheeler,Tina,III,4/6/1995,21,0 Crescent Oaks Court
2008-12471,Hughes,Carroll,Jessica,,8/13/1992,24,52 Vermont Place
2000-01581,Burns,Peters,Thomas,,8/13/1995,21,663 Schurz Avenue
2000-11862,Larson,Jacobs,Aaron,,6/6/1993,23,135 Oxford Lane
2006-12042,Young,Coleman,Robin,II,3/24/1994,22,18028 Marquette Pass
2004-38224,Banks,,Tammy,III,7/16/1994,22,15 Cherokee Trail
2013-51975,Mccoy,Jacobs,John,,6/8/1993,23,595 Hayes Court
2019-05055,Bennett,,Kathryn,,3/16/1995,21,97979 Norway Maple Circle
2007-22642,Hansen,Vasquez,Harry,,12/24/1992,24,02 Sachtjen Street
2011-93305,Flores,Coleman,Anne,,10/23/1990,26,8019 Welch Junction
2007-67941,Washington,,Cheryl,,3/5/1995,21,70441 Northwestern Lane
2000-72575,Crawford,Daniels,Annie,II,9/4/1994,22,8 Macpherson Pass
2004-09285,Graham,Castillo,Lisa,,8/8/1991,25,2170 Bay Way
2016-42825,Peterson,Collins,Lillian,Sr.,5/27/1996,20,248 Weeping Birch Crossing
2002-86015,Armstrong,Alvarez,Catherine,,3/18/1996,20,07 Ramsey Center
2011-31749,Garza,,Carl,,7/29/1996,20,00702 Melody Plaza
2006-40863,Washington,Burns,Diane,,10/14/1992,24,7 Carey Parkway
2009-64158,Lawrence,Thompson,Cheryl,III,1/9/1991,25,0764 Lindbergh Place
2017-27506,Alvarez,Castillo,Joan,,3/11/1997,19,46617 Eggendart Park
2014-85253,Wilson,Anderson,Nancy,III,6/2/1992,24,150 Menomonie Court
2013-13170,Wells,Howard,Scott,,11/12/1995,21,822 Graceland Park
2007-03240,Gordon,Morgan,Henry,,5/29/1994,22,4 Shopko Pass
2002-92144,Sanchez,Marshall,Andrew,,5/29/1990,26,99 Lake View Point
2013-36214,Fuller,Henry,Victor,,5/18/1990,26,755 Michigan Junction
2017-45661,Sims,Wagner,Christine,,3/10/1993,23,203 Onsgard Drive
2004-79470,Campbell,Hamilton,Randy,,10/19/1994,22,688 Buena Vista Drive
2001-34770,Fisher,George,Lori,,11/5/1993,23,67012 Melby Center
2007-45489,Hughes,Mason,Jessica,,11/27/1995,21,4535 Johnson Parkway
2003-28208,Richards,Cooper,George,,11/23/1995,21,3618 Sutteridge Court
2017-01262,Riley,Jordan,Anne,,2/7/1998,18,9794 Corben Plaza
2004-80487,Morales,Nguyen,Brandon,I,11/8/1992,24,6 Florence Terrace
2013-83269,Kelley,Meyer,Willie,,2/3/1993,23,03 Vahlen Plaza
2000-01994,Allen,,Samuel,,9/10/1995,21,4658 Kennedy Way
2004-15582,Stone,,Ruth,,9/19/1994,22,0 Dayton Place
2003-57760,Baker,Palmer,Linda,,11/7/1990,26,485 International Lane
2017-93678,Burns,Powell,Brandon,III,6/19/1995,21,99519 Autumn Leaf Road
2000-80426,Jones,Montgomery,Willie,,9/26/1997,19,263 West Lane
2004-12134,West,,Gerald,III,2/22/1995,21,41489 Mendota Place
2007-97689,Williams,Gonzalez,Brenda,III,1/17/1991,25,52768 Menomonie Avenue
2006-18289,Morrison,Hughes,Kathleen,II,8/24/1994,22,855 Butternut Parkway
2004-22132,Hudson,Crawford,Phyllis,,1/19/1992,24,5 Lawn Lane
2014-91133,Smith,Austin,Henry,,1/22/1997,19,65537 Emmet Drive
2006-01415,White,Simmons,Norma,,11/8/1994,22,7529 Merchant Circle
2006-00826,Evans,Garza,Bonnie,,1/2/1992,24,55 Heath Pass
2002-72017,Morrison,Ellis,Phyllis,III,4/6/1993,23,02999 Thierer Circle
2014-45405,Woods,Patterson,Jean,II,1/17/1996,20,937 Fieldstone Lane
2003-08474,Hunter,West,Betty,,4/30/1990,26,12702 Melvin Drive
2009-85478,Carroll,Sims,Carolyn,,11/21/1995,21,196 Memorial Trail
2014-81113,Powell,Bowman,Keith,,10/2/1997,19,21 Bellgrove Drive
2007-43800,Matthews,,Eric,,10/2/1995,21,92 Vera Way
2003-41699,Shaw,Carter,Amanda,,6/10/1995,21,8 Talmadge Road
2018-12384,Payne,Henry,Albert,,4/13/1993,23,61 Monterey Avenue
2002-75947,Wheeler,Woods,Roger,,6/20/1995,21,6 Kinsman Avenue
2017-95549,Ford,Bowman,Michael,,2/1/1992,24,66537 Paget Hill
2000-29018,Powell,Stevens,Nicole,III,8/10/1991,25,054 5th Way
2010-75058,Simmons,Morris,Philip,,9/19/1995,21,13099 Sommers Trail
2007-19888,Mcdonald,Howell,Amy,,10/17/1995,21,512 Heffernan Road
2000-00278,Nelson,Campbell,Henry,,12/27/1994,22,2975 Sloan Place
2003-87896,Perry,Cooper,Kimberly,,3/21/1995,21,16 Delaware Avenue
2000-81839,Wood,Wheeler,Sean,,7/29/1993,23,69 Northfield Trail
2014-19552,Jones,Crawford,Frances,,3/26/1990,26,61279 Dottie Street
2015-45276,Daniels,,Sarah,,10/12/1990,26,60740 Acker Place
2009-65629,Montgomery,Griffin,Scott,,7/17/1995,21,6166 Karstens Crossing
2014-47819,Elliott,,Janet,,9/2/1991,25,613 Oakridge Terrace
2008-86111,Welch,Morris,Sharon,,4/28/1991,25,762 Porter Parkway
2013-60170,King,Adams,Victor,,3/31/1991,25,800 Dottie Center
2008-29368,Richardson,Payne,Howard,,3/7/1993,23,88379 Hoffman Trail
2006-53216,Hunt,Mason,Sean,,9/19/1997,19,979 Delaware Place
2005-74261,Perez,Walker,Justin,,12/21/1995,21,710 Pierstorff Trail
2006-74425,Peterson,Sullivan,Betty,I,2/16/1995,21,2 Transport Lane
2004-60931,Carroll,Ramirez,Cynthia,,4/22/1997,19,216 Emmet Court
2006-82310,Wells,Turner,Nicole,,3/6/1997,19,4 Ridgeview Center
2003-82866,Hayes,,Richard,,11/2/1996,20,57 Moose Junction
2015-82659,Fuller,Knight,Todd,,10/6/1996,20,947 Di Loreto Pass
2019-57659,Scott,Alvarez,Diane,III,11/4/1991,25,2 Meadow Vale Parkway
2002-75274,Hill,Andrews,Jeffrey,III,8/24/1990,26,6393 Sutherland Hill
2016-20309,Montgomery,Sanchez,Doris,,6/11/1992,24,451 Pleasure Center
2017-46847,Day,,Patrick,III,4/22/1997,19,99 Mccormick Plaza
2008-55586,Hawkins,Dixon,Doris,,9/30/1991,25,588 Riverside Point
2006-93291,Phillips,,Doris,,6/28/1995,21,5808 Buena Vista Road
2017-90498,Chavez,Bishop,Katherine,,11/12/1996,20,777 Utah Terrace
2010-36949,Collins,,Laura,II,7/2/1994,22,8 Park Meadow Way
2004-27017,Hawkins,,Shawn,,1/23/1993,23,69 International Hill
2015-23228,Cunningham,Boyd,Brandon,II,8/31/1993,23,23 Knutson Alley
2003-22578,Payne,Simpson,Wayne,,9/16/1996,20,39725 Village Green Alley
2001-69270,Hayes,Hart,Donna,III,12/23/1990,26,33 Westend Crossing
2011-91149,Kelly,Sanchez,Martin,III,5/27/1990,26,8 Fremont Hill
2018-31090,Ford,Campbell,Henry,,5/13/1992,24,3 Anderson Terrace
2012-02600,Ray,Fox,Wayne,III,7/27/1997,19,2491 Debs Terrace
2016-88131,Austin,Murphy,Todd,,4/21/1995,21,7 Sunfield Lane
2010-29645,Hayes,Wells,Keith,,7/21/1992,24,8730 Grim Way
2014-21147,Alexander,Palmer,Howard,,10/8/1990,26,3080 Ludington Drive
2000-55918,Cruz,Cox,Ronald,Sr.,5/12/1993,23,74 Chive Court
2014-35353,Powell,Olson,Anne,,11/13/1994,22,8 Reindahl Center
2016-72904,Day,Weaver,Rachel,,12/13/1991,25,39 Marcy Lane
2002-95888,Wilson,Simpson,Roger,,10/13/1996,20,54269 Lindbergh Circle
2012-26070,Cole,Edwards,Anthony,,5/4/1990,26,78 Emmet Lane
2013-55847,Garza,Baker,Paula,,2/6/1998,18,7 Delladonna Drive
2014-82126,Garza,Medina,Rose,,8/8/1992,24,6459 Trailsway Terrace
2005-22729,Morales,Hill,Diana,II,6/20/1993,23,99 Namekagon Street
2005-86139,Edwards,Perez,Lisa,,9/4/1996,20,08417 Old Gate Avenue
2009-28281,Stevens,Lewis,Donna,III,3/18/1993,23,9 Oak Valley Court
2003-38990,Carter,Cook,Julie,,7/25/1992,24,8 Mockingbird Avenue
2018-15097,Parker,Fisher,Michael,,10/6/1993,23,24 Hallows Pass
2018-27988,Palmer,Turner,Gary,,3/25/1997,19,9424 Di Loreto Lane
2001-70530,George,Hall,Debra,,10/3/1996,20,0 Debra Center
2017-20638,Simmons,Gibson,Carolyn,,1/25/1998,18,832 Annamark Plaza
2009-91505,Hicks,Sanchez,Deborah,,4/13/1992,24,6 Towne Point
2018-48008,Jacobs,Jacobs,Harry,,6/7/1997,19,3 Buell Road
2004-79647,Taylor,Lee,Brian,II,6/7/1994,22,68 Jackson Hill
2014-57898,Burton,Bryant,Lawrence,Jr.,10/23/1992,24,91988 Dovetail Avenue
2003-65005,Vasquez,Evans,Kenneth,,4/12/1998,18,2679 Manley Trail
2015-84797,Black,Gilbert,Bonnie,I,7/16/1996,20,548 Shoshone Parkway
2015-79843,Elliott,Vasquez,Eugene,,3/31/1996,20,416 Mariners Cove Way
2004-76025,Banks,Robertson,Margaret,,6/30/1994,22,32 Packers Lane
2019-24182,Moore,Kelly,Janet,,10/14/1991,25,63462 Old Shore Drive
2004-31750,Johnston,,James,,8/19/1990,26,47 Maple Place
2007-13554,Day,Fuller,Lori,,1/24/1991,25,22 Jay Place
2003-91899,George,Rodriguez,Albert,,8/25/1990,26,475 Farmco Avenue
2007-94824,Kennedy,Hayes,Laura,II,7/22/1996,20,0170 North Street
2012-68578,Tucker,Ramirez,Fred,III,1/3/1994,22,87473 Butterfield Circle
2018-48715,Richards,Thomas,Doris,,9/25/1997,19,3 Corry Avenue
2007-86498,Ellis,Willis,Ruth,,6/2/1993,23,1 Hazelcrest Pass
2009-31836,Hanson,Nelson,Jacqueline,III,4/21/1996,20,9 Springview Plaza
2005-84718,Hayes,Patterson,Fred,,9/4/1997,19,979 Merrick Street
2005-67865,Stanley,Rodriguez,Thomas,,2/18/1991,25,9165 Atwood Drive
2011-11692,Edwards,Lynch,Andrew,,9/4/1990,26,3 Division Crossing
2012-55922,Bailey,Ramos,Amanda,III,6/6/1990,26,8 Rieder Terrace
2015-88281,Sullivan,Bailey,Diane,,11/13/1995,21,86 Mandrake Hill
2015-53833,Allen,Armstrong,Kevin,,1/8/1998,18,02 Caliangt Avenue
2016-13167,Watson,Morrison,Shirley,III,6/18/1996,20,43712 Melody Terrace
2017-09350,Smith,Fox,Andrew,I,8/19/1991,25,969 Homewood Drive
2019-83305,King,Peterson,Ann,,4/20/1993,23,44753 Green Ridge Park
2005-08900,Vasquez,Fowler,Patricia,,10/18/1993,23,1 Boyd Junction
2016-94002,Bryant,Cruz,Lisa,,8/12/1990,26,07 Arkansas Way
2003-78074,Burke,,Justin,,10/31/1995,21,8 Oak Valley Pass
2004-14609,Richards,Lynch,Sharon,I,5/26/1990,26,52284 Cherokee Hill
2007-47569,Bradley,Morales,Anna,II,6/8/1995,21,7 Redwing Drive
2015-95080,West,Stevens,Roy,,2/23/1992,24,586 Beilfuss Point
2001-87636,Hawkins,Miller,Phyllis,,3/12/1990,26,97 Ronald Regan Pass
2011-33343,Roberts,Adams,Debra,,8/10/1997,19,8329 Dexter Place
2015-43053,Harris,Hall,Patricia,,9/5/1991,25,36 Marcy Center
2011-94041,Gilbert,Arnold,Eric,II,4/10/1996,20,2490 Homewood Trail
2017-34916,Lawrence,Mcdonald,Frances,,1/26/1993,23,83 Schmedeman Terrace
2014-56306,Butler,Tucker,Louise,,1/9/1996,20,94448 Northport Pass
2000-50609,Patterson,Alvarez,Harold,,9/28/1992,24,8887 Northland Plaza
2009-71265,Berry,Henderson,Sandra,,5/2/1995,21,82987 Talisman Junction
2002-94109,Ramirez,Campbell,Sandra,,4/27/1997,19,3090 Summerview Way
2015-59158,Ward,James,Anna,,11/14/1991,25,21648 Tennessee Road
2009-23110,Bryant,,Randy,II,4/27/1995,21,8 Oneill Avenue
2004-08988,Williamson,Rice,Theresa,,3/29/1993,23,37 Leroy Terrace
2018-68298,Owens,Young,Karen,,4/18/1991,25,7116 Morrow Way
2016-64708,Brooks,Hansen,Albert,,12/25/1992,24,676 Utah Trail
2010-78128,Thompson,Long,Lois,II,10/2/1990,26,7172 Pepper Wood Parkway
2004-07043,Richardson,Edwards,Janice,,9/17/1993,23,09 Utah Junction
2018-67757,Gordon,Wallace,Ernest,,2/17/1993,23,79 Dennis Plaza
2002-19281,Collins,Fernandez,Eric,III,5/7/1997,19,7646 Oakridge Point
2004-02971,Ryan,Collins,Kathy,,10/11/1996,20,367 Aberg Circle
2012-25159,Romero,Harrison,Ralph,,10/4/1990,26,081 Fremont Circle
2018-06283,Dean,Watson,Roy,,4/9/1991,25,961 7th Junction
2007-04551,Dunn,Kennedy,James,,8/31/1992,24,92 Vernon Terrace
2014-64910,Stone,Burke,Russell,III,5/3/1998,18,6 Truax Lane
2009-11650,Perkins,Henderson,Patrick,II,8/1/1995,21,75714 Dawn Drive
2011-76149,Alvarez,Nichols,Theresa,,1/1/1998,18,65903 Hayes Point
2010-04849,Richards,Hall,Deborah,,7/19/1993,23,05 Helena Parkway
2006-22555,Morris,Murray,Billy,,6/14/1991,25,23409 Mallard Terrace
2009-75948,Flores,Simpson,Sara,,3/21/1991,25,5077 Chive Drive
2003-22507,Jenkins,Marshall,Kenneth,,9/19/1991,25,839 Messerschmidt Court
2005-64387,Davis,Matthews,Carol,,1/4/1997,19,33027 Eagle Crest Point
2006-14411,West,Hawkins,Jessica,I,1/8/1997,19,4088 Hermina Point
2001-68286,Riley,Jackson,Maria,,8/30/1992,24,9 Mcbride Center
2011-93123,Austin,Matthews,Sharon,,11/16/1992,24,7957 Boyd Junction
2017-90539,Mccoy,Kelley,Kathryn,,9/2/1996,20,1896 Morningstar Point
2002-49725,Gardner,Russell,Harold,,8/15/1997,19,2034 Fordem Road
2014-00711,Lawrence,Willis,Sara,,12/14/1995,21,5895 Forest Dale Pass
2013-69912,Diaz,Lee,Deborah,,7/9/1990,26,8479 Rusk Avenue
2013-28681,Henry,Frazier,Lawrence,,6/29/1990,26,68 Twin Pines Hill
2008-53109,Meyer,,Roger,II,5/8/1991,25,7 Lukken Trail
2012-62335,Spencer,King,Harry,,2/29/1992,24,6 Prairie Rose Circle
2003-31343,Stanley,Griffin,Carol,,11/24/1990,26,6 Maryland Pass
2009-66606,Price,Johnson,Sharon,,8/18/1993,23,57 Coleman Junction
2006-59540,Day,,Willie,I,2/19/1995,21,50588 Shoshone Lane
2014-74233,Oliver,Morgan,Alan,,1/8/1994,22,9 Northwestern Avenue
2018-82442,Elliott,Turner,Mildred,III,11/12/1994,22,22033 Eastwood Street
2012-86981,Wilson,Nelson,Barbara,,3/22/1992,24,721 Orin Road
2002-92403,Mcdonald,Carpenter,Diane,,5/4/1998,18,5 Melby Parkway
2009-02919,Hunter,Hill,Julia,,10/22/1997,19,6 Linden Terrace
2018-87056,Morris,Powell,Thomas,,7/9/1993,23,141 Transport Court
2018-60588,Wallace,Fields,Cheryl,III,5/18/1992,24,4734 Basil Street
2017-96962,Dean,West,Annie,,3/4/1998,18,04622 Vahlen Park
2016-10401,Richards,Spencer,William,,1/16/1996,20,46 Loomis Place
2015-77576,Mills,Morales,Jean,,12/21/1996,20,4456 Tomscot Circle
2006-75526,Carr,Freeman,Stephen,,9/3/1997,19,1020 Goodland Street
2004-23029,Meyer,Dixon,Jesse,I,9/21/1995,21,85 Dawn Drive
2015-41963,Warren,Russell,Mary,,8/22/1992,24,6241 Mayer Way
2001-47544,Robinson,Burton,Joshua,,3/3/1998,18,83612 Riverside Junction
2019-24279,Gonzales,,Carl,,1/7/1994,22,377 Coleman Avenue
2003-90813,Larson,Anderson,Helen,,3/23/1991,25,3 Lakewood Gardens Circle
2017-92807,Wood,Stewart,Bonnie,III,5/6/1992,24,537 Oriole Junction
2013-44759,Gomez,Arnold,Kathy,II,3/18/1995,21,4082 Jackson Avenue
2014-38409,Jenkins,Morrison,Christina,,9/11/1996,20,16 Springview Avenue
2010-86119,Jackson,Long,Sarah,,8/21/1996,20,891 Dahle Center
2005-82235,Morgan,Gibson,Linda,II,12/16/1993,23,51627 Almo Way
2009-24497,Mitchell,,Randy,,5/17/1997,19,694 Oak Hill
2004-46223,Stevens,Bell,Steve,I,4/21/1990,26,98620 Eastlawn Parkway
2014-20288,Wilson,,Jane,III,5/29/1990,26,229 Myrtle Drive
2017-17973,Knight,Palmer,Brenda,,8/25/1991,25,0 Columbus Drive
2014-53624,Ross,Miller,Harold,,1/2/1992,24,7 Jenifer Junction
2010-37417,Collins,Olson,Judith,,9/15/1997,19,338 Golf Course Court
2002-80413,Stone,Wagner,Denise,,7/22/1990,26,6365 Ilene Trail
2014-20618,Jackson,Holmes,Deborah,,7/31/1992,24,092 Oxford Court
2000-89485,Palmer,Webb,Heather,,3/18/1995,21,49 Rockefeller Park
2009-52140,Stephens,Mccoy,Elizabeth,,10/12/1996,20,1296 Reindahl Point
2005-53715,Sims,Rivera,Robin,III,5/9/1996,20,814 Park Meadow Park
2016-53154,Willis,Jenkins,Rebecca,,1/17/1996,20,414 Dottie Street
2015-64708,Hanson,Jenkins,Lois,,9/22/1993,23,0 Canary Way
2002-34027,Garcia,Kelley,Victor,,12/31/1990,26,0283 Northland Crossing
2011-79598,Cook,Roberts,Steve,,8/8/1996,20,365 Lakeland Lane
2012-67635,West,Collins,Terry,,5/14/1995,21,2786 Packers Junction
2005-43705,Gardner,Mitchell,Jeremy,,2/16/1997,19,98 Harper Plaza
2007-40755,Perry,Crawford,Shirley,II,8/13/1990,26,8370 Autumn Leaf Pass
2016-08677,Hudson,Russell,Eugene,III,4/25/1993,23,2 Cherokee Lane
2005-48328,Hudson,Burke,Brandon,II,6/25/1994,22,6 Burning Wood Pass
2011-41275,Carter,Holmes,Ryan,I,8/9/1993,23,3350 Merry Avenue
2005-34435,Davis,Nichols,Barbara,III,5/30/1993,23,9 Daystar Pass
2005-64714,Graham,,Amanda,,8/12/1993,23,2 Carpenter Hill
2013-29832,Lane,Spencer,Andrew,,9/27/1994,22,50 Westport Plaza
2014-57658,Holmes,King,Billy,Jr.,6/22/1991,25,254 Shopko Road
2018-45012,Perkins,Perry,Ruth,,4/24/1991,25,7710 Fisk Parkway
2018-40004,Cole,Hart,Annie,,8/4/1990,26,0065 Meadow Vale Terrace
2010-18745,Hart,Stone,Wayne,,4/3/1990,26,39419 Gerald Street
2006-28432,Lopez,Martinez,Jack,,8/24/1997,19,352 Hooker Place
2018-81882,King,Watkins,Roy,III,7/8/1996,20,31 Paget Trail
2016-19321,Robertson,Scott,Lawrence,,3/10/1996,20,2092 Nova Parkway
2009-63568,Patterson,,Jack,,3/1/1995,21,17215 Trailsway Road
2015-09780,Holmes,Dixon,Charles,,11/27/1995,21,79390 Basil Crossing
2008-58414,Schmidt,Alexander,Keith,,5/8/1991,25,3 Anzinger Street
2012-55721,Lewis,Dixon,Phillip,,4/15/1995,21,10576 Troy Way
2006-61438,George,Gordon,Jack,,7/15/1991,25,74113 Monument Park
2012-54716,Rice,Stevens,Carol,II,3/29/1996,20,301 Arapahoe Park
2004-07751,Black,Collins,Bonnie,I,10/27/1992,24,0 Lakeland Trail
2018-76691,Spencer,,Stephen,II,9/25/1991,25,19 Saint Paul Hill
2013-85497,Knight,Sanders,Donna,,9/3/1993,23,8587 Kedzie Terrace
2019-50074,Parker,Franklin,Juan,I,7/6/1996,20,374 Commercial Center
2001-74884,Shaw,Woods,Timothy,II,4/24/1995,21,0406 Duke Pass
2000-59034,Thomas,Clark,Roger,,3/9/1995,21,47898 Lunder Parkway
2004-16730,Bell,Rose,Martha,III,4/11/1996,20,3 Carpenter Crossing
2016-72383,Murphy,Fields,Eugene,,1/14/1994,22,1689 Portage Point
2018-05674,Gomez,Carter,Harry,,8/4/1994,22,0 Green Ridge Place
2004-75784,Bowman,Torres,Ann,,5/17/1995,21,9941 Colorado Lane
2018-83747,Hayes,Peterson,Marilyn,,12/7/1997,19,1033 Rowland Avenue
2014-61883,Nichols,Burns,Lori,III,12/19/1992,24,3 Dwight Parkway
2010-37261,Austin,Patterson,Carolyn,II,3/5/1995,21,416 Nova Hill
2005-69720,Grant,Hill,Cheryl,,8/1/1995,21,9 Lien Terrace
2015-40017,Nichols,,Janet,,9/13/1994,22,95 Hansons Avenue
2017-43217,Frazier,Mccoy,Denise,,10/17/1991,25,6 Northland Way
2007-88031,Burns,Thomas,Evelyn,,4/3/1996,20,7 Prentice Terrace
2015-76265,Carpenter,Myers,Gregory,,1/4/1996,20,24577 Blue Bill Park Place
2000-44564,Perez,,Jacqueline,II,5/14/1994,22,978 Sutteridge Street
2004-91605,Rose,Williams,Sean,,6/30/1992,24,19525 Golf View Park
2017-11198,Harris,Myers,Nancy,III,6/23/1992,24,099 Commercial Junction
2014-41374,Ruiz,Warren,Lawrence,,4/22/1995,21,6130 Nevada Park
2012-48671,Schmidt,Gonzales,Lois,,7/29/1991,25,37130 Tony Court
2009-36697,Snyder,Jacobs,Kelly,,4/13/1993,23,02395 Troy Street
2003-38009,Welch,,Rebecca,III,1/19/1992,24,7525 Dottie Avenue
2015-68062,Green,Henry,Brandon,,1/17/1990,26,7603 Shasta Lane
2006-43762,Ross,Alexander,Jennifer,III,5/13/1991,25,234 Crest Line Crossing
2001-84445,Bishop,Holmes,Paula,,2/20/1996,20,0 Hovde Avenue
2006-13357,Rivera,Wood,Steve,,2/18/1998,18,894 Delladonna Hill
2011-51564,Hawkins,Reid,Christina,Jr.,7/5/1992,24,72 Iowa Junction
2006-32779,Palmer,Owens,Todd,III,12/4/1991,25,151 Melvin Road
2011-62490,Fuller,Price,Joan,,9/25/1997,19,59085 Lukken Park
2004-22457,Coleman,Williamson,Ann,,8/30/1996,20,536 Westerfield Road
2013-05487,Fernandez,Gibson,Amy,III,9/29/1997,19,1 Iowa Terrace
2016-39392,Scott,Cox,Christopher,,5/19/1996,20,7522 Pawling Alley
2000-99358,Reynolds,Gibson,Clarence,,8/5/1991,25,7 Del Mar Center
2018-25704,Burton,Jackson,Carolyn,,10/11/1996,20,6736 Killdeer Way
2001-19349,Henderson,Richards,Lawrence,,1/29/1992,24,93872 Burning Wood Drive
2010-65742,Hill,Webb,Kevin,,10/7/1994,22,2849 Mallard Trail
